Question,Lesson,Material
В какой мере надёжность сигнализации влияет на её работоспособность и долговечность?,process_6,"Пострелизная поддержка приложения
"
Какие виды знаний и умений необходимы тестировщику для проведения тестирования методом белого ящика?,introduction_5,Функциональное тестирование
На каких этапах разработки приложения может быть применено тестирование белого ящика?,introduction_5,Функциональное тестирование
Какие преимущества и недостатки имеет тестирование белого ящика перед другими методами тестирования?,introduction_5,Функциональное тестирование
"Какие виды знаний и умений необходимы тестировщику для проведения тестирования методом белого ящика, как упомянуто в тексте?",introduction_5,Три ящика тестирования
"На каких этапах разработки приложения может применяться тестирование белого ящика, согласно утверждению, сделанному в тексте?",introduction_5,Три ящика тестирования
"В каких случаях тестирование белого ящика может быть более тщательным, чем другие методы тестирования, согласно утверждению, сделанному в тексте?",introduction_5,Три ящика тестирования
"Какие виды знаний и понимания требуются тестировщику для проведения тестирования методом белого ящика, упомянутого в тексте?",introduction_5,Метод чёрного ящика
"На каких уровнях тестирования чаще всего применяется техника белого ящика, согласно информации, приведенной в тексте?",introduction_5,Метод чёрного ящика
"Какие преимущества и недостатки связаны с использованием тестирования методом белого ящика, согласно утверждениям, сделанным в тексте?",introduction_5,Метод чёрного ящика
"На каких этапах разработки приложения чаще всего применяется тестирование методом белого ящика, согласно информации, приведенной в тексте?",introduction_5,Метод белого ящика
"Согласно тексту, какие преимущества и недостатки характерны для тестирования методом белого ящика, и каковы их основные особенности?",introduction_5,Метод белого ящика
Какие виды знаний и умений необходимы для проведения тестирования при помощи техники белого ящика?,introduction_5,Метод серого ящика
На каких этапах разработки программного обеспечения может быть применено тестирование методом белого ящика?,introduction_5,Метод серого ящика
Какие преимущества и недостатки предоставляет тестирование белого ящика в сравнении с другими методами тестирования?,introduction_5,Метод серого ящика
"Какие виды знаний и умений необходимы для проведения тестирования при помощи метода белого ящика, как упомянуто в тексте?",introduction_5,Виды тестирования после изменений в коде
"На каких этапах разработки приложения применяется тестирование методом белого ящика, согласно информации, приведенной в тексте?",introduction_5,Виды тестирования после изменений в коде
"Какие преимущества и недостатки имеет тестирование при помощи метода белого ящика, согласно утверждениям, сделанным в тексте?",introduction_5,Виды тестирования после изменений в коде
"Какие виды знаний и понимания требуются тестировщику для проведения тестирования методом белого ящика, как упомянуто в тексте?",introduction_5,Статическое и динамическое тестирование
"На каких уровнях тестирования наиболее часто применяется техника белого ящика, согласно утверждению в тексте?",introduction_5,Статическое и динамическое тестирование
"Каковы два преимущества тестирования методом белого ящика, перечисленные в тексте, и каковы связанные с ними детали?",introduction_5,Статическое и динамическое тестирование
"На каких этапах разработки приложения применяется тестирование методом белого ящика, согласно утверждению из текста?",introduction_5,Позитивное и негативное тестирование
"Согласно тексту, какие преимущества и недостатки характерны для тестирования методом белого ящика?",introduction_5,Позитивное и негативное тестирование
"Согласно тексту, какие преимущества и недостатки имеет тестирование методом белого ящика, и в какой мере они влияют на процесс тестирования?",introduction_5,Альфа- и бета-тестирование
Какие виды знаний и умений необходимы для проведения тестирования при помощи метода белого ящика?,introduction_5,Тестирование на основе тест-кейсов и исследовательское тестирование
На каких этапах разработки приложений чаще всего применяется тестирование методом белого ящика и почему?,introduction_5,Тестирование на основе тест-кейсов и исследовательское тестирование
Какие преимущества и недостатки имеет тестирование при помощи метода белого ящика перед другими методами тестирования?,introduction_5,Тестирование на основе тест-кейсов и исследовательское тестирование
"На каких этапах разработки приложения чаще всего применяется тестирование методом белого ящика, согласно утверждениям, сделанным в тексте?",introduction_5,Смоук-тесты
"Какие виды знаний и понимания требуются тестировщику для проведения тестирования белого ящика, согласно указанному тексту?",introduction_5,Нефункциональное тестирование
"В каких случаях и на каких уровнях тестирования применяется техника белого ящика, помимо модульного тестирования компонентов, как упомянуто в тексте?",introduction_5,Нефункциональное тестирование
"Какие преимущества и недостатки у тестирования белого ящика, согласно перечисленным в тексте?",introduction_5,Нефункциональное тестирование
"Какие преимущества и недостатки связаны с тестированием методом белого ящика, согласно утверждениям, сделанным в тексте?",introduction_5,Тестирование производительности 
"Каковы два главных недостатка тестирования методом белого ящика, перечисленные в тексте, и какое специальное знание необходимо для преодоления этих недостатков?",introduction_5,Нагрузочное тестирование
"На каких этапах разработки приложения чаще всего применяется тестирование методом белого ящика, согласно утверждению в тексте?",introduction_5,Тестирование масштабируемости
"Каковы перечисленные в тексте недостатки тестирования методом белого ящика, связанные с необходимостью иметь специальные знания?",introduction_5,Объёмное тестирование
"Какие виды тестирования могут быть проведены с использованием техники белого ящика, согласно указанному тексту?",introduction_5,Стрессовое тестирование
"Каковы преимущества тестирования методом белого ящика, описанные в тексте?",introduction_5,Стрессовое тестирование
"Какие знания необходимы для проведения тестирования с помощью техники белого ящика, согласно указанному тексту?",introduction_5,Стрессовое тестирование
"На каких этапах разработки приложения применяется тестирование методом белого ящика, согласно утверждению, сделанному в тексте?",process_5,Оглавление
"Согласно тексту, какие преимущества и недостатки имеет тестирование методом белого ящика, и каковы их основные особенности?",process_5,Оглавление
"Как связаны язык программирования и тестирование методом белого ящика, упомянутые в тексте?",process_5,На этом уроке
"На каких уровнях тестирования применяется техника белого ящика, согласно информации, приведенной в тексте?",process_5,"Термины, используемые в лекции"
"В какой степени тестирование методом белого ящика позволяет проверить пользовательский интерфейс системы, согласно утверждению, сделанному в тексте?",process_5,"Термины, используемые в лекции"
"Какие виды знаний и умений необходимы для проведения тестирования методом белого ящика, как упомянуто в тексте?",process_5,Что такое нефункциональное тестирование?
"На каких этапах разработки приложения применяется тестирование методом белого ящика, согласно преимуществам, перечисленным в тексте?",process_5,Что такое нефункциональное тестирование?
"В каких случаях может оказаться непрактичным использование тестирования методом белого ящика, исходя из упомянутых в тексте недостатков?",process_5,Что такое нефункциональное тестирование?
"Какие преимущества и недостатки связаны с требованием к тестировщику иметь знание языка программирования, на котором написано приложение, как указано в тексте?",process_5,Нефункциональное тестирование
"На каких этапах разработки приложения может быть применено тестирование белого ящика, согласно преимуществам, перечисленным в тексте?",process_5,Разница между функциональными и нефункциональными требованиями
"В каких случаях тестирование белого ящика может быть более предпочтительным, чем другие методы тестирования, и почему, исходя из преимуществ, перечисленных в тексте?",process_5,Разница между функциональными и нефункциональными требованиями
"В какой степени тестирование методом белого ящика способствует более тщательному покрытию путей выполнения программы, как описано в тексте?",process_5,Разница между функциональным тестированием мобильных и веб-приложений
"На каких этапах разработки приложения может быть применено тестирование белого ящика, и какие преимущества это приносит?",process_5,Установочное тестирование
"В каких случаях тестирование белого ящика может быть более подходящим, чем другие методы тестирования, и почему?",process_5,Установочное тестирование
"Какие виды знаний и умений необходимы для проведения тестирования при помощи техники белого ящика, как упомянуто в тексте?",process_5,SQL-инъекция
"На каких этапах разработки приложения может быть применено тестирование методом белого ящика, согласно информации, приведенной в тексте?",process_5,SQL-инъекция
"В каких случаях может оказаться непрактичным использование техники белого ящика для тестирования, согласно утверждениям, сделанным в тексте?",process_5,SQL-инъекция
"В какой степени тестирование с помощью белого ящика зависит от знания языка программирования, как описано в тексте?",process_5,Составим тест-кейс на безопасность. 
"В каких случаях тестирование методом белого ящика может быть наиболее полезным, и почему, исходя из преимуществ, описанных в тексте?",process_5,Тестирование производительности
"На каких этапах разработки приложения может применяться тестирование белого ящика, согласно утверждениям, сделанным в тексте?",process_5,Производительность устройства 
"Согласно тексту, какие преимущества и недостатки имеет тестирование белого ящика, и каковы их основные особенности?",process_5,Производительность устройства 
"В каких случаях использование тестирования белого ящика может быть неэффективным или затруднено, согласно указанным в тексте недостаткам данного вида тестирования?",process_5,Производительность сервера/API
"На каких уровнях тестирования наиболее часто применяется техника белого ящика, согласно информации, приведенной в тексте?",process_5,Нагрузочное тестирование
"Каковы преимущества и недостатки тестирования методом белого ящика, описанные в тексте, и каковы их причины?",process_5,Нагрузочное тестирование
"В какой степени способствует тестирование методом белого ящика более тщательному покрытию путей выполнения программы, как указано в тексте?",process_5,"Стрессовое тестирование
"
"На каких этапах разработки приложения может быть применено тестирование белого ящика, согласно утверждений, сделанных в тексте?",process_5,Тестирование локализации и глобализации
"На каких уровнях тестирования применяется техника белого ящика, согласно информации, предоставленной в тексте?",process_5,Подведение итогов
"В какой степени тестирование методом белого ящика способствует более тщательному покрытию кода, как указано в тексте, и какие именно элементы кода оно позволяет проверить?",process_5,Подведение итогов
"Согласно тексту, какие преимущества и недостатки имеет тестирование при помощи метода белого ящика?",process_5,Домашнее задание
"На каких этапах разработки приложения может быть применено тестирование белого ящика, и какие преимущества это имеет?",process_5,Используемая литература
"Как выбираются входные значения для тестирования методом белого ящика, и в каких случаях может быть применена эта техника?",process_5,Используемая литература
